Tanggal,Kasus,Meninggal,Sembuh
14/01/2021,3937,90,2372
28/01/2021,4748,135,3670
11/02/2021,3694,83,3697
25/02/2021,2717,96,3160
11/03/2021,2385,59,2916
25/03/2021,2676,47,2353
08/04/2021,2691,71,2863
22/04/2021,2843,87,3218
06/05/2021,2755,65,3784
20/05/2021,2192,107,3114
03/06/2021,2646,104,2570
17/06/2021,5307,127,2949
01/07/2021,10609,266,4055
15/07/2021,24427,593,10444
29/07/2021,28597,1044,15316
12/08/2021,20115,870,27077
26/08/2021,13037,605,26028
09/09/2021,4979,316,13084
23/09/2021,1804,135,6060
07/10/2021,861,54,1992
21/10/2021,401,23,975
04/11/2021,452,15,438
18/11/2021,400,12,415
02/12/2021,341,0,270
16/12/2021,174,3,385
30/12/2021,48,3,232
