,Topic,Word,P
0,0,partai_golkar,0.02790519
1,0,sop,0.018959573
2,0,dr,0.018294593
3,0,tular_covid,0.017986787
4,0,kebumen,0.017929401
5,0,tradisi,0.017222682
6,0,main,0.015520515
7,0,udara,0.014853952
8,0,suasana,0.013219714
9,0,pos,0.0129960235
10,1,capai_persen,0.049467698
11,1,kampus,0.034084693
12,1,sultan,0.018191403
13,1,sri_sultan,0.011470879
14,1,obat_keras,0.010644852
15,1,juta_butir,0.008111702
16,1,capai_vaksinasi,0.007623917
17,1,x,0.0068705333
18,1,sri,0.0066326605
19,1,butir,0.0050258157
20,2,kacang,0.011746257
21,2,panen,0.010261191
22,2,komunal,0.00865257
23,2,herd_immunity,0.008601331
24,2,immunity,0.008601331
25,2,kebal,0.008563649
26,2,patuh,0.008513127
27,2,herd,0.008419915
28,2,papar_covid,0.008134718
29,2,terjun,0.007969636
30,3,libur,0.03085654
31,3,kartu,0.019794514
32,3,aniaya,0.017560545
33,3,saudara,0.01753883
34,3,panas,0.017015697
35,3,ancam,0.016468436
36,3,ayah,0.016214222
37,3,tega,0.015792843
38,3,aneka,0.014092998
39,3,teriak,0.013250821
40,4,jasad,0.036721718
41,4,faktor,0.026233846
42,4,lari,0.025684835
43,4,hukum,0.012700644
44,4,cerita,0.0118292095
45,4,jatuh,0.010493695
46,4,rokok,0.009306378
47,4,hakim,0.009193658
48,4,jatuh_hukum,0.0072615263
49,4,sma,0.0068822345
50,5,jogja,0.016410094
51,5,korban,0.012232082
52,5,rumah_sakit,0.0113079995
53,5,kota_yogyakarta,0.009104476
54,5,makan,0.008051452
55,5,keluarga,0.007908271
56,5,kota,0.007883703
57,5,pantai,0.007882319
58,5,bantul,0.0076222857
59,5,kunjung,0.0075698984
60,6,alir,0.017546182
61,6,kabupaten_bantul,0.01708682
62,6,protokol_sehat,0.016885567
63,6,pasien_covid,0.015617794
64,6,penjara,0.014528161
65,6,video,0.013685174
66,6,sembuh,0.012536489
67,6,bantul,0.012478535
68,6,pasien,0.011465289
69,6,angka,0.0110678105
70,7,orang_tua,0.040305324
71,7,sungai,0.030880349
72,7,anak,0.025156379
73,7,nama,0.022750346
74,7,anak_anak,0.018084383
75,7,acara,0.014161151
76,7,tua,0.0134542715
77,7,dirjen,0.0123144835
78,7,duduk,0.011754247
79,7,tani,0.010137006
80,8,vaksinasi,0.02822623
81,8,produk,0.02582317
82,8,pemkab_sleman,0.023794036
83,8,destinasi_wisata,0.017106498
84,8,unjung,0.01696982
85,8,cepat_vaksinasi,0.016094882
86,8,pandemi_covid,0.014739658
87,8,persen,0.014546508
88,8,perintah_kabupaten,0.013463434
89,8,tani,0.0129724415
90,9,kuliner,0.026847426
91,9,uji_coba,0.019815734
92,9,coba,0.019128997
93,9,warung,0.018245723
94,9,ptm_batas,0.009171262
95,9,sidang,0.0087379385
96,9,kalah,0.008021443
97,9,minum,0.007883671
98,9,ringan,0.0075802305
99,9,ptm,0.00739618
100,10,bakar,0.013085836
101,10,api,0.013067103
102,10,nikah,0.012059536
103,10,aksi,0.011345678
104,10,anak,0.010891036
105,10,kalurahan,0.010647178
106,10,gandung,0.008732383
107,10,seksual,0.008631028
108,10,laki_laki,0.00839797
109,10,madam,0.008111411
