,Topic:
0,"0.009*""kamar"" + 0.006*""tani"" + 0.006*""duduk"" + 0.005*""cabai"" + 0.005*""adik"" + 0.005*""kulonprogo"" + 0.005*""alat"" + 0.005*""kebal"" + 0.005*""polda_diy"" + 0.005*""militer"""
1,"0.012*""protokol_sehat"" + 0.011*""pandemi_covid"" + 0.011*""vaksinasi_covid"" + 0.010*""vaksinasi"" + 0.009*""gunungkidul"" + 0.009*""pemkab_sleman"" + 0.009*""terap_protokol"" + 0.009*""didik"" + 0.008*""ekonomi"" + 0.006*""wisata"""
2,"0.020*""tambah"" + 0.019*""kabupaten_sleman"" + 0.018*""positif_covid"" + 0.017*""konfirmasi_positif"" + 0.017*""tracing_kontak"" + 0.017*""positif"" + 0.016*""periksa_mandiri"" + 0.014*""kota_yogyakarta"" + 0.013*""kabupaten_bantul"" + 0.013*""juru_bicara"""
3,"0.014*""rumah_sakit"" + 0.014*""angin_kencang"" + 0.009*""tni"" + 0.007*""muhammadiyah"" + 0.007*""haedar"" + 0.007*""sakit"" + 0.006*""brigjen"" + 0.006*""tinggal_dunia"" + 0.006*""jiwa"" + 0.005*""kendara"""
4,"0.013*""salat"" + 0.007*""kabupaten_bantul"" + 0.005*""unit"" + 0.005*""jawa"" + 0.005*""masjid"" + 0.004*""butuh"" + 0.004*""industri"" + 0.004*""salah_satu"" + 0.004*""operasi"" + 0.004*""handphone"""
5,"0.011*""partai_demokrat"" + 0.010*""duga_teroris"" + 0.010*""mabes_polri"" + 0.009*""kota_yogyakarta"" + 0.008*""barang_bukti"" + 0.008*""larang_mudik"" + 0.006*""harga"" + 0.006*""mudik"" + 0.006*""vaksinasi"" + 0.006*""vaksin"""
6,"0.019*""awan_panas"" + 0.012*""gunung_rapi"" + 0.012*""jarak_luncur"" + 0.011*""atta"" + 0.010*""data"" + 0.010*""arah_barat"" + 0.009*""wib_wib"" + 0.008*""amplitudo_mm"" + 0.008*""awan"" + 0.008*""aurel"""
7,"0.025*""korban"" + 0.014*""sepeda_motor"" + 0.010*""kulonprogo"" + 0.009*""tinggal_dunia"" + 0.009*""saksi"" + 0.008*""polisi"" + 0.008*""motor"" + 0.007*""humas_polres"" + 0.007*""kulonprogo_iptu"" + 0.007*""temu"""
8,"0.015*""agama"" + 0.014*""bom_bunuh"" + 0.011*""gereja"" + 0.010*""gereja_katedral"" + 0.009*""bom"" + 0.009*""menteri_agama"" + 0.008*""terorisme"" + 0.006*""bunuh"" + 0.006*""umat"" + 0.005*""mabes_polri"""
9,"0.007*""isolasi"" + 0.006*""klinik"" + 0.006*""obat"" + 0.006*""dalam"" + 0.006*""produk"" + 0.005*""allah"" + 0.005*""padukuhan"" + 0.005*""tes"" + 0.005*""positif_covid"" + 0.005*""ngaglik"""
